i,x
722,[1 1 0]
723,[0 0 0]
724,[1 0 0]
725,[0 0 0]
726,[0 0 1]
727,[0 0 0]
728,[0 0 0]
729,[1 0 0]
730,[1 1 1]
731,[1 1 1]
732,[1 1 0]
733,[1 0 0]
734,[1 0 0]
735,[0 0 0]
736,[0 0 0]
737,[0 0 0]
738,[1 1 1]
739,[0 0 0]
740,[1 1 0]
741,[1 1 0]
742,[0 0 0]
743,[0 0 1]
744,[0 1 0]
745,[1 0 0]
746,[1 1 1]
747,[1 0 0]
748,[0 1 1]
749,[0 0 0]
750,[1 1 1]
751,[0 0 1]
752,[0 0 0]
753,[0 0 0]
754,[0 0 0]
755,[1 0 1]
756,[1 0 1]
757,[0 0 0]
758,[1 0 1]
759,[0 0 0]
760,[1 0 1]
761,[0 0 0]
762,[0 0 1]
763,[0 0 0]
764,[0 0 1]
765,[1 1 0]
766,[0 0 1]
767,[1 1 1]
768,[0 0 0]
769,[0 0 0]
770,[0 1 1]
771,[0 1 0]
772,[0 0 0]
773,[0 0 1]
774,[1 0 1]
775,[0 0 0]
776,[1 1 0]
777,[1 0 0]
778,[1 1 1]
779,[0 0 1]
780,[0 0 0]
781,[1 1 1]
782,[1 0 1]
783,[0 0 0]
784,[1 0 0]
785,[0 0 0]
786,[0 0 0]
787,[1 0 0]
788,[0 0 0]
789,[1 1 0]
790,[1 1 0]
791,[1 0 0]
792,[1 0 1]
793,[0 0 0]
794,[0 0 0]
795,[1 0 0]
796,[1 0 1]
797,[0 0 0]
798,[1 0 0]
799,[0 0 0]
800,[0 0 0]
801,[1 0 1]
802,[1 0 0]
803,[1 0 0]
804,[1 0 0]
805,[1 0 0]
806,[0 0 1]
807,[0 0 0]
808,[1 0 0]
809,[0 0 0]
810,[1 0 0]
811,[1 0 1]
812,[0 0 0]
813,[1 0 1]
814,[1 1 0]
815,[0 0 0]
816,[0 0 0]
817,[0 0 0]
818,[0 1 0]
819,[1 0 0]
820,[1 0 1]
821,[1 1 0]
822,[0 1 1]
823,[1 0 1]
824,[0 0 0]
825,[1 1 1]
826,[0 0 1]
827,[1 1 0]
828,[0 0 1]
829,[1 0 0]
830,[0 0 0]
831,[1 0 0]
832,[0 1 1]
833,[0 0 0]
834,[1 0 0]
835,[1 1 0]
836,[0 0 1]
837,[1 1 1]
838,[1 0 0]
839,[0 0 0]
840,[0 1 1]
841,[0 0 0]
842,[1 0 1]
843,[0 0 1]
844,[0 0 0]
845,[0 0 0]
846,[0 0 0]
847,[0 0 1]
848,[0 0 0]
849,[1 0 0]
850,[1 0 0]
851,[1 0 1]
852,[0 0 0]
853,[1 1 0]
854,[0 0 0]
855,[1 1 1]
856,[0 1 1]
857,[0 1 1]
858,[0 0 1]
859,[0 1 0]
860,[1 0 0]
861,[1 0 0]
862,[1 1 0]
863,[1 0 1]
864,[0 0 0]
865,[0 0 0]
866,[1 0 1]
867,[0 0 0]
868,[0 0 0]
869,[0 0 0]
870,[1 1 1]
871,[1 0 1]
872,[0 1 0]
873,[1 1 0]
874,[0 0 0]
875,[0 0 0]
876,[0 0 0]
877,[0 1 1]
878,[1 0 0]
879,[1 0 0]
880,[0 0 0]
881,[0 0 0]
882,[1 1 0]
883,[1 0 1]
884,[1 0 1]
