i,x,probability
150,[0 0 0 1 0 0 1 1 0 0],0.0016707553171423028
151,[0 0 0 1 0 0 1 0 1 0],0.0022844235217736927
152,[0 0 0 1 0 0 1 0 0 1],0.001726928682616726
153,[0 0 0 1 0 0 0 1 1 0],0.0026984764429758357
154,[0 0 0 1 0 0 0 1 0 1],0.0020399353816503824
155,[0 0 0 1 0 0 0 0 1 1],0.002789203374621741
156,[0 0 0 0 1 1 1 0 0 0],0.0010598744840777873
157,[0 0 0 0 1 1 0 1 0 0],0.001251977271523826
158,[0 0 0 0 1 1 0 0 1 0],0.0017118283559839056
159,[0 0 0 0 1 1 0 0 0 1],0.0012940706744999535
160,[0 0 0 0 1 0 1 1 0 0],0.001353117263892253
161,[0 0 0 0 1 0 1 0 1 0],0.0018501170540283528
162,[0 0 0 0 1 0 1 0 0 1],0.0013986111490916597
163,[0 0 0 0 1 0 0 1 1 0],0.0021854517078195032
164,[0 0 0 0 1 0 0 1 0 1],0.0016521101287631959
165,[0 0 0 0 1 0 0 0 1 1],0.0022589299581955223
166,[0 0 0 0 0 1 1 1 0 0],0.0013858086302859084
167,[0 0 0 0 0 1 1 0 1 0],0.0018948159549280516
168,[0 0 0 0 0 1 1 0 0 1],0.0014324016495436945
169,[0 0 0 0 0 1 0 1 1 0],0.0022382523071633144
170,[0 0 0 0 0 1 0 1 0 1],0.001692025174549182
171,[0 0 0 0 0 1 0 0 1 1],0.002313505794962657
172,[0 0 0 0 0 0 1 1 1 0],0.0024190677471988835
173,[0 0 0 0 0 0 1 1 0 1],0.0018287140882646846
174,[0 0 0 0 0 0 1 0 1 1],0.0025004005284126017
175,[0 0 0 0 0 0 0 1 1 1],0.0029535993915379404
176,[1 1 1 1 0 0 0 0 0 0],0.0010490650645230896
177,[1 1 1 0 1 0 0 0 0 0],0.0008496205489744549
178,[1 1 1 0 0 1 0 0 0 0],0.0008701474149034337
179,[1 1 1 0 0 0 1 0 0 0],0.0009404415846974458
180,[1 1 1 0 0 0 0 1 0 0],0.001110897098595155
181,[1 1 1 0 0 0 0 0 1 0],0.0015189294543988415
182,[1 1 1 0 0 0 0 0 0 1],0.0011482471689995975
183,[1 1 0 1 1 0 0 0 0 0],0.0007780045494192221
184,[1 1 0 1 0 1 0 0 0 0],0.0007968011699780595
185,[1 1 0 1 0 0 1 0 0 0],0.0008611701214628156
186,[1 1 0 1 0 0 0 1 0 0],0.0010172576424697926
187,[1 1 0 1 0 0 0 0 1 0],0.0013908962385568268
188,[1 1 0 1 0 0 0 0 0 1],0.0010514594102246568
189,[1 1 0 0 1 1 0 0 0 0],0.0006453161680376846
190,[1 1 0 0 1 0 1 0 0 0],0.0006974475236102305
191,[1 1 0 0 1 0 0 1 0 0],0.0008238602407721511
